vm_id,actual_label,predicted_label,probability_false,probability_true,confidence_score,confidence_band,recommendation
726,False,False,0.5766666666666667,0.42333333333333334,0.5766666666666667,Low,No Action
1115,False,False,0.95,0.05,0.95,High,No Action
760,False,False,0.9666666666666667,0.03333333333333333,0.9666666666666667,High,No Action
477,True,True,0.0033333333333333335,0.9966666666666667,0.9966666666666667,High,Shutdown
1079,False,False,0.9966666666666667,0.0033333333333333335,0.9966666666666667,High,No Action
740,True,True,0.19,0.81,0.81,Medium,Resize
795,False,False,0.9,0.1,0.9,High,No Action
1108,True,True,0.0,1.0,1.0,High,Shutdown
89,False,False,0.8933333333333333,0.10666666666666667,0.8933333333333333,Medium,No Action
88,False,False,0.82,0.18,0.82,Medium,No Action
441,False,False,0.9933333333333333,0.006666666666666667,0.9933333333333333,High,No Action
233,False,False,1.0,0.0,1.0,High,No Action
187,False,False,1.0,0.0,1.0,High,No Action
645,False,False,1.0,0.0,1.0,High,No Action
1220,False,False,0.5033333333333333,0.49666666666666665,0.5033333333333333,Low,No Action
1137,True,True,0.0,1.0,1.0,High,Shutdown
811,False,False,0.53,0.47,0.53,Low,No Action
1202,False,False,0.9866666666666667,0.013333333333333334,0.9866666666666667,High,No Action
295,False,False,0.9933333333333333,0.006666666666666667,0.9933333333333333,High,No Action
385,True,True,0.0,1.0,1.0,High,Shutdown
594,True,True,0.03333333333333333,0.9666666666666667,0.9666666666666667,High,Shutdown
203,False,False,1.0,0.0,1.0,High,No Action
1010,True,True,0.013333333333333334,0.9866666666666667,0.9866666666666667,High,Shutdown
208,False,False,1.0,0.0,1.0,High,No Action
362,True,True,0.03333333333333333,0.9666666666666667,0.9666666666666667,High,Shutdown
273,False,False,1.0,0.0,1.0,High,No Action
1250,False,False,0.9966666666666667,0.0033333333333333335,0.9966666666666667,High,No Action
562,False,False,0.9966666666666667,0.0033333333333333335,0.9966666666666667,High,No Action
1172,False,False,0.86,0.14,0.86,Medium,No Action
840,False,False,0.9966666666666667,0.0033333333333333335,0.9966666666666667,High,No Action
990,False,False,1.0,0.0,1.0,High,No Action
692,False,False,0.79,0.21,0.79,Medium,No Action
1248,False,False,1.0,0.0,1.0,High,No Action
42,False,False,0.9233333333333333,0.07666666666666666,0.9233333333333333,High,No Action
791,True,True,0.22666666666666666,0.7733333333333333,0.7733333333333333,Medium,Resize
644,False,False,1.0,0.0,1.0,High,No Action
854,False,False,0.9933333333333333,0.006666666666666667,0.9933333333333333,High,No Action
590,True,True,0.0,1.0,1.0,High,Shutdown
545,False,False,0.63,0.37,0.63,Low,No Action
77,False,False,0.93,0.07,0.93,High,No Action
165,False,False,0.9533333333333334,0.04666666666666667,0.9533333333333334,High,No Action
485,True,True,0.0,1.0,1.0,High,Shutdown
917,False,False,0.9833333333333333,0.016666666666666666,0.9833333333333333,High,No Action
1186,True,True,0.0,1.0,1.0,High,Shutdown
519,True,True,0.0,1.0,1.0,High,Shutdown
329,False,False,1.0,0.0,1.0,High,No Action
933,False,False,0.83,0.17,0.83,Medium,No Action
688,False,False,1.0,0.0,1.0,High,No Action
991,False,False,1.0,0.0,1.0,High,No Action
851,True,True,0.20333333333333334,0.7966666666666666,0.7966666666666666,Medium,Resize
